var,pais,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
pov50,HND,58.286,57.029,54.832,58.751,62.669,64.185,61.965,63.094,61.081,58.288,53.697,52.229,50.943,53.965,56.554,61.813,59.839,55.699,55.408,53.298,56.358,55.36,53.208,57.378,65.036
pov50,BOL,51.644,53.062,54.479,58.509,54.033,54.692,45.474,48.845,52.216,48.038,46.107,38.542,35.057,32.097,29.136,29.984,26.75,26.939,27.843,26.907,27.346,25.646,23.172,26.142,32.936
pov50,DOM,31.252,32.427,33.603,34.778,37.96,36.597,43.723,51.674,43.652,40.812,38.615,39.447,38.02,37.515,36.563,36.917,36.506,31.528,28.195,26.297,20.065,18.058,16.144,23.648,30.173
pov50,COL,53.837,53.563,56.063,59.074,62.237,55.213,54.521,55.199,50.52,48.075,45.63,43.185,42.994,40.022,36.162,36.094,33.122,31.445,31.137,31.068,29.651,31.223,31.046,34.902,40.914
pov50,PER,49.534,51.654,50.214,49.028,53.792,48.921,48.734,48.713,51.667,48.333,40.145,36.384,28.135,24.776,27.993,26.394,25.562,24.138,23.167,23.331,23.209,21.466,19.815,45.206,51.102
pov50,SLV,53.37,49.547,48.705,47.252,47.042,47.234,45.278,47.838,51.5,46.945,44.289,47.915,47.374,46.796,46.85,43.91,40.066,39.891,37.802,36.451,34.824,31.446,29.348,30.864,36.698
pov50,ECU,NA,70.908,67.3,63.693,58.439,57.06,55.681,49.633,47.653,43.264,42.831,40.519,42.241,38.591,34.512,32.26,31.062,27.338,27.996,28.324,26.795,28.092,30.261,37.908,42.869
pov50,MEX,NA,53.771,49.997,46.223,44.799,43.375,42.152,40.929,39.542,34.969,36.301,37.634,37.981,38.328,37.757,37.186,37.272,37.359,33.04,28.721,27.644,26.566,28.452,30.337,34.428
pov50,CRI,33.497,28.955,30.963,28.672,27.574,28.26,26.231,27.796,24.541,24.524,19.829,18.707,18.243,18.246,19.509,17.885,17.335,16.674,15.704,15.23,14.557,15.289,15.319,23.433,27.201
pov50,LAC,42.9,45.5,45.5,45.1,45,45,44.8,43.2,40.7,36.8,35,33.4,31.9,30.8,29.4,28,27,25.9,26,26.2,26.9,27.7,28.1,34.7,38.3
pov50,GTM,NA,45.475,52.639,59.804,55.436,51.07,47.25,61.592,55.176,48.76,53.781,58.803,63.825,68.847,67.149,57.718,55.914,53.913,53.424,54.195,54.466,57.342,55.737,56.539,60.175
pov50,ARG,24.815,26.36,27.611,30.09,32.082,44.501,39.989,33.37,26.993,21.242,16.305,16.499,16.264,14.035,9.31,11.647,9.983,12.57,14.907,17.243,14.59,16.551,18.993,23.334,26.532
pov50,BRA,43.887,43.197,44.096,43.56,43.023,42.515,43.335,41.232,38.846,35.98,34.475,30.694,27.9,26.285,24.67,22.065,21.025,19.253,21.2,21.704,21.635,21.284,20.674,30.53,33.697
pov50,URY,11.063,10.679,9.479,11.117,15.099,18.772,23.164,23.992,21.556,18.227,17.915,12.531,12.742,11.284,9.357,8.659,8.24,7.377,7.691,7.27,6.331,6.578,6.795,9.528,11.469
pov50,CHL,NA,26.412,25.936,25.459,24.943,24.426,23.91,21.833,19.755,17.678,16.196,14.714,13.232,12.758,12.284,10.23,8.176,8.26,8.344,7.807,7.27,8.633,9.995,11.358,12.985
pov50,PRY,NA,39.606,39.3,39.41,39.52,49.67,45.276,43.494,37.359,41.453,37.533,36.18,32.024,31.761,30.692,29.202,24.212,22.419,22.835,26.722,25.155,21.677,21.615,21.006,20.341
pov50,VEN,40.424,40.44,43.588,42.833,41.889,48.177,56.46,46.186,41.748,29.061,22.515,20.827,19.738,20.25,20.44,18.96,19.729,16.458,22.095,37.599,66.954,88.215,91.727997,95.241,92.707
pov50,NIC,NA,69.745,70.089,66.729,63.368,63.692,64.015,64.339,64.663,64.115,63.568,63.021,62.474,59.462,56.213,52.067,53.028,53.988,54.14,54.196,54.425,56.532,64.317,63.833,59.416
vulner,ARG,38.87,36.743,37.555,36.405,36.055,34.484,35.759,37.081,38.277,37.544,34.898,35.846,34.621,35.929,30.692,34.979,33.605,36.887,36.559,36.231,34.802,35.582,36.176,39.404,41.672
vulner,BOL,30.513,29.664,28.814,26.094,30.223,29.37,32.23,30.782,29.335,32.078,33.596,38.339,39.787,40.09,40.392,37.453,38.034,38.588,38.746,38.317,38.446,40.972,41.518,41.088,40.849
vulner,BRA,31.189,32.07,32.285,32.451,32.617,33.083,33.139,34.325,35.372,36.36,36.537,37.413,39.18,39.177,39.174,38.619,37.907,37.977,39.347,35.241,35.253,33.74,32.804,35.456,35.79
vulner,CHL,NA,38.445,38.859,39.273,39.813,40.354,40.894,40.979,41.064,41.149,41.05,40.951,40.852,40.416,39.98,38.064,36.147,37.165,38.184,36.945,35.707,35.631,35.554,35.478,38.837
vulner,COL,30.531,30.142,29.313,26.81,25.869,28.48,30.054,28.649,31.697,32.43,33.162,33.895,33.657,34.802,36.313,36.174,36.555,37.229,37.788,38.998,39.766,38.379,37.98,37.748,37.132
vulner,CRI,41.078,41.282,40.959,39.817,39.833,40.047,39.139,40.749,42.336,41.803,41.992,41.826,39.72,39.465,35.716,36.245,37.242,35.443,37.107,36.11,36.456,36.126,37.252,36.956,37.227
vulner,DOM,40.51,39.112,37.715,36.317,36.026,37.835,36.349,32.61,35.616,35.67,39.764,38.209,39.36,38.931,39.907,42.254,41.023,41.43,42.215,41.023,47.738,44.95,44.278,46.677,46.331
vulner,ECU,NA,21.22,23.593,25.966,28.142,28.927,29.712,32.595,33.226,35.47,34.545,37.197,37.542,38.338,39.857,40.81,41.66,43.976,42.855,43.81,43.373,43.448,41.656,40.327,39.13
vulner,GTM,NA,33.76,30.171,26.582,28.177,29.773,31.627,25.478,29.46,33.443,30.635,27.826,25.018,22.21,24.113,29.349,31.665,30.273,32.294,31.646,30.889,29.492,30.735,29.84,28.16
vulner,HND,29.789,30.969,31.378,28.168,24.957,23.851,26.205,24.083,25.713,27.874,30.403,31.866,32.318,30.048,29.228,26.569,28.36,31.232,31.934,32.768,31.177,31.288,32.008,28.617,25.145
vulner,MEX,NA,31.566,33.549,35.532,36.331,37.13,38.018,38.905,39.519,41.424,40.05,38.676,39.051,39.427,39.41,39.393,40.258,41.124,42.824,44.524,45.129,45.733,44.704,43.675,43.959
vulner,NIC,NA,22.957,21.542,23.158,24.773,25.202,25.631,26.06,26.489,27.132,27.776,28.42,29.064,31.541,33.475,36.672,36.023,35.374,35.268,35.213,35.057,33.06,27.609,28.139,31.591
vulner,PAN,33.217,33.885,34.499,34.071,32.465,32.613,33.245,32.776,32.351,33.096,33.913,33.816,34.779,34.512,36.832,33.636,34.029,32.622,30.732,30.083,30.082,29.159,28.013,24.757,28.65
vulner,PER,33.423,32.708,34.534,35.842,32.583,34.884,33.9,35.465,34.165,34.54,37.387,39.046,37.745,38.564,41.602,41.509,42.106,42.656,44.272,42.107,42.567,43.363,43.974,35.491,34.627
vulner,PRY,NA,31.645,34.742,34.817,34.892,32.055,33.326,34.897,36.976,36.402,38.246,37.728,39.553,38.832,36.606,37.725,37.378,37.56,38.146,38.949,39.65,40.429,39.384,43.602,44.603
vulner,SLV,31.895,32.857,33.895,34.234,34.866,34.375,36.602,36.355,34.232,38.781,39.653,36.963,38.114,37.793,39.344,41.231,42.851,42.999,45.062,45.455,47.229,47.311,48.595,45.928,45.113
vulner,URY,36.271,31.728,33.015,33.608,35.537,37.989,41.792,39.021,39.391,39.367,37.28,37.808,34.528,34.937,31.177,29.969,28.674,27.187,26.18,26.619,25.815,26.545,27.4,28.782,30.62
